HVG,seq30K,seq50K,seq60K,seq75K,seq100K,seq250K,seq30K_gene.mean,seq30K_gene.dispersion,seq30K_gene.dispersion.scaled,seq50K_gene.mean,seq50K_gene.dispersion,seq50K_gene.dispersion.scaled,seq60K_gene.mean,seq60K_gene.dispersion,seq60K_gene.dispersion.scaled,seq75K_gene.mean,seq75K_gene.dispersion,seq75K_gene.dispersion.scaled,seq100K_gene.mean,seq100K_gene.dispersion,seq100K_gene.dispersion.scaled,seq250K_gene.mean,seq250K_gene.dispersion,seq250K_gene.dispersion.scaled
GPR82,1,0,0,0,0,0,0.108041965,0.938806933,0.6365536,0.103153608,0.712130031,0.448657189,0.102252445,0.677359366,0.470837761,0.103139223,0.618344736,0.423135225,0.102187926,0.559064641,0.371696289,0.104210079,0.529561747,0.552209483
ZNF674-AS1,1,1,1,1,1,1,0.097360194,1.188324209,1.465944536,0.096588559,1.001810867,1.407949667,0.094879907,0.939747639,1.339919957,0.091997085,0.808214258,1.052020921,0.092667167,0.801115746,1.179579913,0.091000447,0.625571495,0.867745336
TIMP1,1,0,0,0,0,0,1.066051844,1.124790476,0.704976268,1.032218188,0.952018519,0.581109909,1.02063991,0.916456833,0.572943483,1.010891509,0.873554779,0.539558539,1.000619526,0.836866767,0.494160126,0.979620232,0.750823195,0.480676694
CFP,1,0,1,1,0,0,0.097713645,0.93472523,0.622986092,0.09389137,0.748332411,0.568543171,0.095051208,0.688336152,0.507195063,0.0938056,0.630241974,0.462541247,0.094965465,0.663443881,0.720078417,0.092293069,0.551542733,0.624449952
PIM2,1,1,1,1,1,1,0.082178864,1.200879611,1.507678467,0.08235167,1.096327785,1.720947138,0.080808119,1.050953329,1.708255341,0.079102307,0.987739317,1.646643693,0.079307436,0.912989209,1.552975188,0.084416151,0.936971681,1.89116146
TSPYL2,1,1,1,1,1,1,0.117749146,1.012109951,0.880211512,0.125227572,0.939189429,1.200575666,0.128080673,0.889239623,1.172627353,0.130818961,0.867582269,1.248659606,0.133722706,0.855551604,1.36126815,0.154071974,0.99308544,2.075579221
FAM104B,1,0,0,0,0,1,0.215702911,0.966984768,0.730216214,0.22533231,0.737217897,0.531736905,0.236599837,0.683219489,0.490247658,0.247610264,0.686222217,0.647958968,0.254743802,0.606281046,0.529288467,0.279256604,0.447277885,0.156498416
PAGE5,1,1,1,1,1,1,0.082097897,1.332550349,1.94534963,0.075131775,1.149277911,1.89629411,0.074569093,1.081984308,1.811036121,0.073451604,1.026291539,1.774336338,0.073045464,0.955821541,1.695934829,0.071296751,0.838436536,1.567325891
RP13-188A5.1,1,1,1,1,1,1,0.138614589,1.029027209,0.936444173,0.147318371,0.837027945,0.862262837,0.151553877,0.781789677,0.816731743,0.156570163,0.720926484,0.762906418,0.164265403,0.659942123,0.708390749,0.183433903,0.568271212,0.679428065
KLF8,1,1,1,0,1,1,0.025577966,0.998813508,0.836014374,0.02625399,0.79086101,0.709378736,0.027770919,0.742459039,0.686460838,0.026883506,0.690596226,0.662446559,0.02562559,0.640910399,0.644869376,0.024570616,0.50459715,0.470163382
CXorf65,1,1,1,1,1,1,0.052914063,1.145265094,1.322816814,0.054317989,0.848887083,0.90153496,0.056528295,0.772072118,0.784545252,0.058093489,0.699849129,0.693094018,0.062892573,0.764582599,1.057644789,0.066012874,0.619667274,0.848341124
LINC00891,1,1,1,1,1,1,0.361329727,0.952186911,0.793884488,0.363115175,0.817721725,0.899919955,0.367922316,0.792810304,0.962186074,0.366353113,0.762335537,1.023314251,0.368466827,0.744942031,1.116287345,0.376566557,0.667608681,1.172214738
RGAG4,1,1,0,0,1,0,0.037091383,1.0209005,0.909431139,0.034264699,0.781682255,0.678982834,0.033070011,0.726060243,0.632144764,0.035123429,0.646274365,0.515643723,0.036349873,0.625547711,0.593593991,0.040283135,0.519448299,0.518971654
XIST,1,1,1,1,1,1,1.600678204,1.338483743,1.068879737,1.6087131,1.235056328,0.993850094,1.606954432,1.224636401,1.027100537,1.603716692,1.194671372,1.016702576,1.59942383,1.135900433,0.803115086,1.596920408,1.080678083,0.780561374
FTX,1,1,1,1,1,1,0.157917607,1.040752511,0.975418866,0.183179368,0.804523376,0.754622341,0.200756142,0.835472949,0.994541427,0.213884194,0.770780205,0.928031876,0.231400506,0.698235667,0.836201472,0.284859648,0.56713968,0.709056586
TAF9B,1,0,0,0,0,0,0.175741139,0.995246216,0.824156761,0.175976296,0.742279135,0.548497446,0.174949131,0.67855104,0.474784825,0.173407575,0.62047486,0.430190618,0.173152285,0.559190757,0.372117222,0.172840618,0.473643128,0.368433045
CYSLTR1,1,0,0,1,0,0,0.025526138,2.090015712,4.463150872,0.023165792,1.825540698,4.135771922,0.02207805,1.776541637,4.111548261,0.023494871,1.944920913,4.817019902,0.024019836,1.831757108,4.619507519,0.028188039,1.603942096,4.083158467
P2RY10,1,1,1,1,1,1,0.076703009,1.158635288,1.367259097,0.080044424,0.973405324,1.313883302,0.079380682,0.920028264,1.274605462,0.07634202,0.867133627,1.247173613,0.075252417,0.801101324,1.179531777,0.074329413,0.650601963,0.950007922
ITM2A,1,1,1,1,1,1,0.50180301,0.94687519,0.76667099,0.498106325,0.793864529,0.786110763,0.495773444,0.753641163,0.778692077,0.499359803,0.744217696,0.939461656,0.496818814,0.702027426,0.920431773,0.490463436,0.651017712,1.095731021
ZNF711,1,1,1,1,1,1,0.145528211,1.020085989,0.906723719,0.153121615,0.878585687,0.999883364,0.158332796,0.845086274,1.026382672,0.162404327,0.789546433,0.990189364,0.168276179,0.705739896,0.861248018,0.192185783,0.618581909,0.844774076
